#longitude,latitude,distance,bathymetry
141.829203612,37.3306894136,71250.0527502,-497.407167553
141.832026052,37.3307293745,71500.0528107,-495.737723981
141.834848494,37.3307692682,71750.0528706,-490.361977753
141.83767094,37.330809095,72000.0529296,-492.016642302
141.840493388,37.3308488547,72250.0529879,-496.064554139
141.84331584,37.3308885474,72500.0530455,-499.457489277
141.846138294,37.330928173,72750.0531023,-504.051142187
141.848960752,37.3309677316,73000.0531584,-508.652817339
141.851783212,37.3310072231,73250.0532137,-512.690353185
141.854605675,37.3310466476,73500.0532683,-517.303796252
141.857428141,37.331086005,73750.0533222,-522.113764545
141.86025061,37.3311252954,74000.0533753,-526.815688552
141.863073082,37.3311645188,74250.0534277,-530.231087694
141.865895557,37.3312036751,74500.0534793,-533.86781026
141.868718035,37.3312427644,74750.0535302,-537.961194244
141.871540516,37.3312817866,75000.0535804,-541.372495984
141.874362999,37.3313207418,75250.0536298,-544.671924331
141.877185486,37.3313596299,75500.0536786,-548.097259332
141.880007975,37.331398451,75750.0537265,-552.199881402
141.882830468,37.3314372051,76000.0537738,-555.899519592
141.885652963,37.3314758921,76250.0538203,-559.197984858
141.888475461,37.331514512,76500.0538661,-562.570267766
141.891297962,37.3315530649,76750.0539112,-565.902380473
141.894120466,37.3315915508,77000.0539555,-569.334422715
141.896942972,37.3316299696,77250.0539991,-572.531534827
141.899765482,37.3316683214,77500.054042,-582.809458288
141.902587994,37.3317066061,77750.0540842,-593.915418531
141.90541051,37.3317448238,78000.0541257,-595.346096868
141.908233028,37.3317829745,78250.0541664,-599.504271697
141.911055549,37.3318210581,78500.0542065,-604.711409596
141.913878073,37.3318590746,78750.0542458,-608.394903056
141.916700599,37.3318970241,79000.0542844,-613.376227293
141.919523129,37.3319349065,79250.0543223,-618.626419986
141.922345661,37.3319727219,79500.0543594,-623.200882795
141.925168196,37.3320104703,79750.0543959,-628.402606489
141.927990734,37.3320481516,80000.0544317,-633.546183475
141.930813274,37.3320857659,80250.0544667,-638.196754022
141.933635818,37.3321233131,80500.0545011,-642.842585536
141.936458364,37.3321607933,80750.0545347,-647.50721539
141.939280913,37.3321982064,81000.0545676,-652.21747965
141.942103465,37.3322355524,81250.0545999,-656.878937751
141.94492602,37.3322728315,81500.0546314,-661.260369962
141.947748577,37.3323100434,81750.0546622,-665.323799372
141.950571137,37.3323471884,82000.0546924,-669.243539182
141.9533937,37.3323842662,82250.0547218,-673.674719046
141.956216266,37.3324212771,82500.0547505,-678.509680006
141.959038835,37.3324582208,82750.0547786,-681.965294147
141.961861406,37.3324950976,83000.0548059,-685.647746944
141.96468398,37.3325319073,83250.0548326,-689.670577403
141.967506556,37.3325686499,83500.0548586,-693.179416452
141.970329136,37.3326053255,83750.0548838,-696.902807865
141.973151718,37.332641934,84000.0549084,-700.750345426
141.975974303,37.3326784755,84250.0549323,-704.320192516
141.978796891,37.3327149499,84500.0549555,-707.60273119
141.981619481,37.3327513573,84750.0549781,-710.629233923
141.984442074,37.3327876976,85000.0549999,-713.578124462
141.98726467,37.3328239709,85250.0550211,-716.263435488
141.990087268,37.3328601771,85500.0550416,-718.959533526
141.992909869,37.3328963163,85750.0550614,-722.124560963
141.995732473,37.3329323884,86000.0550805,-725.236465715
141.99855508,37.3329683935,86250.0550989,-728.830144002
142.001377689,37.3330043315,86500.0551167,-733.550826608
142.004200301,37.3330402025,86750.0551338,-738.885596979
142.007022915,37.3330760064,87000.0551502,-744.936605183
142.009845532,37.3331117433,87250.055166,-751.763759113
142.012668152,37.3331474131,87500.0551811,-758.454361064
142.015490775,37.3331830159,87750.0551955,-765.296648192
142.0183134,37.3332185516,88000.0552092,-772.426636667
142.021136028,37.3332540202,88250.0552223,-778.545887187
142.023958658,37.3332894218,88500.0552347,-783.679653518
142.026781291,37.3333247564,88750.0552464,-787.912957931
142.029603927,37.3333600239,89000.0552575,-792.537921158
142.032426565,37.3333952243,89250.0552679,-796.364871135
142.035249206,37.3334303577,89500.0552777,-799.143424369
142.03807185,37.3334654241,89750.0552868,-802.520651869
142.040894496,37.3335004234,90000.0552952,-805.68007663
142.043717145,37.3335353556,90250.055303,-808.626936711
142.046539796,37.3335702208,90500.0553101,-812.538908485
142.04936245,37.3336050189,90750.0553166,-816.717400197
142.052185107,37.33363975,91000.0553224,-821.036024526
142.055007766,37.333674414,91250.0553276,-825.642218157
142.057830428,37.3337090109,91500.0553321,-830.577443519
142.060653092,37.3337435409,91750.055336,-835.708627815
142.063475759,37.3337780037,92000.0553392,-840.600015612
142.066298428,37.3338123995,92250.0553418,-845.571454961
142.0691211,37.3338467283,92500.0553437,-850.712305758
142.071943775,37.33388099,92750.055345,-856.072589384
142.074766452,37.3339151846,93000.0553456,-861.432158014
142.077589132,37.3339493122,93250.0553456,-866.791708164
142.080411814,37.3339833727,93500.055345,-872.17547618
142.083234499,37.3340173662,93750.0553437,-877.596195513
142.086057186,37.3340512926,94000.0553418,-882.781632616
142.088879876,37.3340851519,94250.0553392,-887.379319358
142.091702568,37.3341189442,94500.055336,-892.457678512
142.094525263,37.3341526695,94750.0553322,-897.546102858
142.09734796,37.3341863277,95000.0553277,-902.194607628
142.10017066,37.3342199188,95250.0553226,-906.829996069
142.102993363,37.3342534429,95500.0553169,-911.477703112
142.105816067,37.3342868999,95750.0553105,-916.167531974
142.108638775,37.3343202899,96000.0553036,-920.870136966
142.111461485,37.3343536128,96250.0552959,-925.572658543
142.114284197,37.3343868686,96500.0552877,-930.257459879
142.117106912,37.3344200574,96750.0552788,-934.859450322
142.119929629,37.3344531791,97000.0552694,-939.235636272
142.122752349,37.3344862338,97250.0552593,-943.323255803
142.125575071,37.3345192214,97500.0552485,-947.342802808
142.128397796,37.334552142,97750.0552372,-951.379289868
142.131220523,37.3345849955,98000.0552252,-955.358247584
142.134043252,37.3346177819,98250.0552127,-958.729346666
142.136865984,37.3346505013,98500.0551995,-962.070114338
142.139688719,37.3346831536,98750.0551856,-965.358447628
142.142511455,37.3347157389,99000.0551712,-968.040677137
142.145334195,37.3347482571,99250.0551562,-970.661522949
142.148156936,37.3347807083,99500.0551405,-973.164659774
142.15097968,37.3348130924,99750.0551243,-975.113098854
